time,mc energy,min energy
1,500,9.999999401033172
2,500,9.999999101787855
3,500,9.999999319941589
4,500,9.999999289208118
5,500,9.999999122692387
6,500,9.999999181332523
7,500,9.999999181332523
8,500,9.999999181332523
9,500,9.999999181332523
10,500,9.999999122692387
11,500,9.999999812579738
12,500,9.999999181332523
13,500,9.999999181332523
14,500,9.999999181332523
15,500,9.999999181332523
16,500,9.999999101787855
17,500,9.999999927490393
18,500,9.999999181332523
19,500,9.999999181332523
20,500,9.999999181332523
21,500,9.999999625159475
22,500,9.999999122692387
23,500,9.999999090136258
24,500,9.999999122692387
25,500,9.999999181332523
26,500,9.99999923486198
27,500,9.999999181332523
28,500,9.999999181332523
29,500,10.0
30,500,9.999999352830402
31,500,9.999999962524367
32,500,9.999999812579738
33,500,9.999999181332523
34,500,9.999999181332523
35,500,9.999999181332523
36,500,9.999999181332523
37,500,9.999999265340742
38,500,9.999999401033172
39,500,10.0
40,500,9.999999349422776
41,500,9.999999854980786
42,500,9.999999401033172
43,500,9.999999479605835
44,500,9.999999181332523
45,500,9.999999050313548
46,500,9.999999289208118
47,500,9.999999380806953
48,500,9.999999663244628
49,500,9.999999181332523
50,500,10.0
51,500,10.0
52,500,9.999999122692387
53,500,9.999999401033172
54,500,9.999999122692387
55,500,9.999999962524367
56,500,9.999999181332523
57,500,9.999999122692387
58,500,9.999999401033172
59,500,9.999999181332523
60,500,9.999999181332523
61,500,9.999999122692387
62,500,9.999999181332523
63,500,9.999999401033172
64,500,9.999999181332523
65,500,9.999999181332523
66,500,9.999999181332523
67,500,9.999999181332523
68,500,9.999999181332523
69,500,9.999999181332523
70,500,9.999999349422776
71,500,9.999999401033172
72,500,9.999999352830402
73,500,9.999999349422776
74,500,10.0
75,500,9.999999558282585
76,500,9.999999349422776
77,500,9.999999181332523
78,500,10.0
79,500,9.999999812579738
80,500,9.999999525156774
81,500,9.999999525156774
82,500,9.999999050313548
83,500,9.999999927490393
84,500,9.999999401033172
85,500,9.99999923486198
86,500,9.999999812579738
87,500,9.999999927490393
88,500,9.999999558282585
89,500,9.999999812579738
90,500,9.999999558282585
91,500,9.99999923486198
92,500,9.99999923486198
93,500,9.999999289208118
94,500,9.999999401033172
95,500,9.999999962524367
96,500,9.999999181332523
97,500,9.999999812579738
98,500,9.999999101787855
99,500,9.999999181332523
100,500,9.999999181332523
101,500,9.999999122692387
102,500,9.999999401033172
103,500,9.999999289208118
104,500,9.99999911656517
105,500,9.999999181332523
106,500,9.999999479605835
107,500,9.999999652397046
108,500,9.999999304794091
109,500,9.999999181332523
110,500,9.999999349422776
111,500,9.999999181332523
112,500,9.999999401033172
113,500,9.999999181332523
114,500,9.999999181332523
115,500,10.0
116,500,9.999999289200133
117,500,9.999999289208118
118,500,10.0
119,500,9.999999927490393
120,500,9.999999319941589
121,500,9.999999652397046
122,500,9.999999181332523
123,500,9.999999812579738
124,500,9.99999923486198
125,500,9.999999927490393
126,500,9.999999181332523
127,500,9.999999289208118
128,500,9.999999401033172
129,500,9.999999289208118
130,500,9.999999663244628
131,500,9.999999181332523
132,500,9.999999558282585
133,500,9.99999911656517
134,500,9.999999962524367
135,500,9.999999812579738
136,500,9.999999349422776
137,500,9.999999265340742
138,500,9.99999911656517
139,500,9.999999479605835
140,500,9.999999558282585
141,500,9.999999319941589
142,500,9.999999122692387
143,500,9.999999525156774
144,500,9.999999256772321
145,500,9.999999962524367
146,500,9.999999380806953
147,500,9.999999663244628
148,500,9.999999663244628
149,500,9.999999663244628
150,500,9.999999122692387
151,500,9.999999101787855
152,500,9.999999181332523
153,500,9.999999181332523
154,500,9.999999401033172
155,500,9.999999401033172
156,500,9.99999923486198
157,500,9.999999401033172
158,500,9.999999289208118
159,500,9.9999998875731
160,500,9.999999265340742
161,500,9.999999349422776
162,500,9.999999122692387
163,500,9.999999349422776
164,500,9.999999558282585
165,500,9.999999663244628
166,500,9.999999289208118
167,500,9.999999181332523
168,500,9.999999181332523
169,500,9.999999401033172
170,500,9.99999923486198
171,500,9.999999927490393
172,500,9.999999319941589
173,500,9.999999349422776
174,500,9.999999181332523
175,500,9.999999812579738
176,500,9.999999101787855
177,500,9.999999181332523
178,500,9.999999558282585
179,500,9.999999962524367
180,500,9.999999181332523
181,500,9.999999289200133
182,500,10.0
183,500,10.0
184,500,9.999999401033172
185,500,9.999999927490393
186,500,9.999999401033172
187,500,9.999999927490393
188,500,9.999999181332523
189,500,9.999999401033172
190,500,9.999999349422776
191,500,9.999999652397046
192,500,9.999999401033172
193,500,9.999999380806953
194,500,9.999999265340742
195,500,9.999999181332523
196,500,9.999999181332523
197,500,9.999999122692387
198,500,9.99999923486198
199,500,9.999999101787855
200,500,9.999999925048733
201,500,9.999999289208118
202,500,9.999999401033172
203,500,10.0
204,500,9.99999921577189
205,500,9.999999525156774
206,500,9.999999962524367
207,500,9.999999181332523
208,500,9.999999401033172
209,500,9.999999401033172
210,500,9.999999401033172
211,500,9.999999319941589
212,500,9.999999401033172
213,500,9.999999401033172
214,500,9.999999962524367
215,500,9.999999962524367
216,500,9.99999923486198
217,500,9.999999525156774
218,500,9.999999401033172
219,500,9.9999998875731
220,500,9.999999181332523
221,500,9.999999181332523
222,500,9.999999319941589
223,500,9.999999479605835
224,500,9.999999401033172
225,500,9.999999181332523
226,500,9.999999289208118
227,500,9.999999181332523
228,500,9.999999479605835
229,500,9.99999923486198
230,500,9.999999289208118
231,500,9.999999289208118
232,500,9.999999265340742
233,500,9.99999911656517
234,500,9.999999181332523
235,500,9.999999181332523
236,500,9.999999500879266
237,500,9.999999500879266
238,500,9.999999122692387
239,500,9.99999923486198
240,500,9.999999401033172
241,500,10.0
242,500,9.999999122692387
243,500,10.0
244,500,9.999999181332523
245,500,9.999999181332523
246,500,9.999999181332523
247,500,9.999999181332523
248,500,9.999999479605835
249,500,9.999999401033172
250,500,9.999999050313548
251,500,9.999999289208118
252,500,9.999999181332523
253,500,9.999999181332523
254,500,9.999999181332523
255,500,9.999999181332523
