time,mc location,mc energy,min energy,max energy,max charge,nb_dead,nb_pack,number_pack
1,"(0.0, 0.0)",500,9.997233772000019,10.0,-100,0,0,99
2,"(0.0, 0.0)",500,9.994351700000038,10.0,-100,0,0,97
3,"(0.0, 0.0)",500,9.99124209600006,10.0,-100,0,0,88
4,"(0.0, 0.0)",500,9.98832418000008,10.0,-100,0,0,98
5,"(0.0, 0.0)",500,9.985062888000101,10.0,-100,0,0,98
6,"(0.0, 0.0)",500,9.982408348000119,10.0,-100,0,0,99
7,"(0.0, 0.0)",500,9.978388616000146,9.99997768,-100,0,0,126
8,"(0.0, 0.0)",500,9.975051480000168,9.999967552,-100,0,0,108
9,"(0.0, 0.0)",500,9.972321096000186,9.999967552,-100,0,0,96
10,"(0.0, 0.0)",500,9.96890811600021,9.999967552,-100,0,0,107
11,"(0.0, 0.0)",500,9.966066044000229,9.999935103999999,-100,0,0,93
12,"(0.0, 0.0)",500,9.96295644000025,9.99990648,-100,0,0,107
13,"(0.0, 0.0)",500,9.960605276000265,9.999900416000003,-100,0,0,94
14,"(0.0, 0.0)",500,9.957990736000284,9.999883340000002,-100,0,0,97
15,"(0.0, 0.0)",500,9.955108664000303,9.999874640000002,-100,0,0,106
16,"(0.0, 0.0)",500,9.951619840000326,9.999874640000002,-100,0,0,106
17,"(0.0, 0.0)",500,9.947867640000352,9.999874640000002,-100,0,0,116
18,"(0.0, 0.0)",500,9.94525310000037,9.999849568000002,-100,0,0,90
19,"(0.0, 0.0)",500,9.942183496000391,9.999824496000002,-100,0,0,99
20,"(0.0, 0.0)",500,9.939113892000412,9.999824496000002,-100,0,0,91
21,"(0.0, 0.0)",500,9.93630766400043,9.999824496000002,-100,0,0,104
22,"(0.0, 0.0)",500,9.933313904000451,9.999805311999996,-100,0,0,101
23,"(0.0, 0.0)",500,9.930735208000469,9.999805311999996,-100,0,0,96
24,"(0.0, 0.0)",500,9.927701448000489,9.999776868000003,-100,0,0,100
25,"(0.0, 0.0)",500,9.92470768800051,9.999772863999995,-100,0,0,106
26,"(0.0, 0.0)",500,9.921562240000531,9.999772863999995,-100,0,0,97
27,"(0.0, 0.0)",500,9.91887185600055,9.999772863999995,-100,0,0,88
28,"(0.0, 0.0)",500,9.915610564000572,9.999772863999995,-100,0,0,99
29,"(0.0, 0.0)",500,9.912425116000593,9.999740415999995,-100,0,0,95
30,"(0.0, 0.0)",500,9.909431356000614,9.999726144000007,-100,0,0,97
31,"(0.0, 0.0)",500,9.906058376000637,9.999701248000008,-100,0,0,111
32,"(0.0, 0.0)",500,9.90264539600066,9.999696684000005,-100,0,0,109
33,"(0.0, 0.0)",500,9.899839168000678,9.999696684000005,-100,0,0,89
34,"(0.0, 0.0)",500,9.896921252000698,9.999673352000006,-100,0,0,97
35,"(0.0, 0.0)",500,9.894115024000717,9.99965145600001,-100,0,0,93
36,"(0.0, 0.0)",500,9.89062620000074,9.999626688000006,-100,0,0,105
37,"(0.0, 0.0)",500,9.887329064000763,9.99962656000001,-100,0,0,109
38,"(0.0, 0.0)",500,9.884031928000786,9.99960166400001,-100,0,0,101
39,"(0.0, 0.0)",500,9.881529076000803,9.99960166400001,-100,0,0,97
40,"(0.0, 0.0)",500,9.878459472000824,9.99960166400001,-100,0,0,107
41,"(0.0, 0.0)",500,9.874858960000848,9.999595908000012,-100,0,0,111
42,"(0.0, 0.0)",500,9.87159766800087,9.999576768000011,-100,0,0,93
43,"(0.0, 0.0)",500,9.86867975200089,9.999576768000011,-100,0,0,94
44,"(0.0, 0.0)",500,9.86564599200091,9.999576768000011,-100,0,0,103
45,"(0.0, 0.0)",500,9.862652232000931,9.999553372000014,-100,0,0,103
46,"(0.0, 0.0)",500,9.85977016000095,9.999532104000014,-100,0,0,107
47,"(0.0, 0.0)",500,9.856584712000972,9.999532104000014,-100,0,0,104
48,"(0.0, 0.0)",500,9.853475108000993,9.999532104000014,-100,0,0,104
49,"(0.0, 0.0)",500,9.850137972001015,9.999532104000014,-100,0,0,117
50,"(0.0, 0.0)",500,9.846800836001037,9.999532104000014,-100,0,0,105
51,"(0.0, 0.0)",500,9.84350370000106,9.999532104000014,-100,0,0,107
52,"(0.0, 0.0)",500,9.839903188001085,9.999532104000014,-100,0,0,114
53,"(0.0, 0.0)",500,9.836793584001105,9.999532104000014,-100,0,0,111
54,"(0.0, 0.0)",500,9.834179044001123,9.999510836000015,-100,0,0,88
55,"(0.0, 0.0)",500,9.831261128001143,9.999489568000016,-100,0,0,96
56,"(0.0, 0.0)",500,9.82890996400116,9.999489568000016,-100,0,0,93
57,"(0.0, 0.0)",500,9.825952048001179,9.999489568000016,-100,0,0,90
58,"(0.0, 0.0)",500,9.823109976001199,9.999468300000016,-100,0,0,102
59,"(0.0, 0.0)",500,9.81996452800122,9.999447032000017,-100,0,0,109
60,"(0.0, 0.0)",500,9.817309988001238,9.999425764000017,-100,0,0,101
61,"(0.0, 0.0)",500,9.814958824001254,9.999404496000018,-100,0,0,89
62,"(0.0, 0.0)",500,9.810863248001281,9.999383228000019,-100,0,0,113
