time,mc location,mc energy,min energy,max energy,max charge,nb_dead,nb_pack,number_pack
1,"(0.0, 0.0)",500,4.997220391999982,5.0,-100,0,0,96
2,"(0.0, 0.0)",500,4.994298239999964,5.0,-100,0,0,94
3,"(0.0, 0.0)",500,4.991803719999948,5.0,-100,0,0,95
4,"(0.0, 0.0)",500,4.9895942879999335,5.0,-100,0,0,81
5,"(0.0, 0.0)",500,4.987171039999918,5.0,-100,0,0,75
6,"(0.0, 0.0)",500,4.985032879999904,5.0,-100,0,0,91
7,"(0.0, 0.0)",500,4.982395815999888,5.0,-100,0,0,92
8,"(0.0, 0.0)",500,4.979972567999872,5.0,-100,0,0,93
9,"(0.0, 0.0)",500,4.977620591999857,5.0,-100,0,0,85
10,"(0.0, 0.0)",500,4.975482431999843,5.0,-100,0,0,93
11,"(0.0, 0.0)",500,4.972560279999825,5.0,-100,0,0,86
12,"(0.0, 0.0)",500,4.966858519999788,5.0,-100,0,0,200
13,"(0.0, 0.0)",500,4.964435271999773,5.0,-100,0,0,84
14,"(0.0, 0.0)",500,4.958733511999736,5.0,-100,0,0,200
15,"(0.0, 0.0)",500,4.9530317519997,5.0,-100,0,0,200
16,"(0.0, 0.0)",500,4.950465959999684,5.0,-100,0,0,83
17,"(0.0, 0.0)",500,4.94832779999967,5.0,-100,0,0,74
18,"(0.0, 0.0)",500,4.942626039999634,5.0,-100,0,0,200
19,"(0.0, 0.0)",500,4.939988975999617,5.0,-100,0,0,87
20,"(0.0, 0.0)",500,4.937280639999599,5.0,-100,0,0,100
21,"(0.0, 0.0)",500,4.934572303999582,5.0,-100,0,0,90
22,"(0.0, 0.0)",500,4.932149055999567,5.0,-100,0,0,99
23,"(0.0, 0.0)",500,4.92644729599953,5.0,-100,0,0,200
24,"(0.0, 0.0)",500,4.923810231999513,5.0,-100,0,0,84
25,"(0.0, 0.0)",500,4.921386983999498,5.0,-100,0,0,99
26,"(0.0, 0.0)",500,4.919320095999485,5.0,-100,0,0,85
27,"(0.0, 0.0)",500,4.916754303999468,5.0,-100,0,0,91
28,"(0.0, 0.0)",500,4.914402327999453,5.0,-100,0,0,81
29,"(0.0, 0.0)",500,4.911693991999436,5.0,-100,0,0,95
30,"(0.0, 0.0)",500,4.909342015999421,5.0,-100,0,0,86
31,"(0.0, 0.0)",500,4.906206047999401,5.0,-100,0,0,97
32,"(0.0, 0.0)",500,4.903283895999382,5.0,-100,0,0,91
33,"(0.0, 0.0)",500,4.900575559999365,5.0,-100,0,0,91
34,"(0.0, 0.0)",500,4.898081039999349,5.0,-100,0,0,92
35,"(0.0, 0.0)",500,4.89508761599933,5.0,-100,0,0,95
36,"(0.0, 0.0)",500,4.892308007999312,5.0,-100,0,0,86
37,"(0.0, 0.0)",500,4.889599671999295,5.0,-100,0,0,97
38,"(0.0, 0.0)",500,4.8838979119992585,5.0,-100,0,0,200
39,"(0.0, 0.0)",500,4.881332119999242,5.0,-100,0,0,87
40,"(0.0, 0.0)",500,4.875630359999206,5.0,-100,0,0,200
41,"(0.0, 0.0)",500,4.869928599999169,5.0,-100,0,0,200
42,"(0.0, 0.0)",500,4.864226839999133,5.0,-100,0,0,200
43,"(0.0, 0.0)",500,4.862088679999119,5.0,-100,0,0,81
44,"(0.0, 0.0)",500,4.859237799999101,5.0,-100,0,0,95
45,"(0.0, 0.0)",500,4.856315647999082,5.0,-100,0,0,86
46,"(0.0, 0.0)",500,4.853393495999064,5.0,-100,0,0,93
47,"(0.0, 0.0)",500,4.8504000719990445,5.0,-100,0,0,91
48,"(0.0, 0.0)",500,4.847691735999027,5.0,-100,0,0,82
49,"(0.0, 0.0)",500,4.845411031999013,5.0,-100,0,0,93
50,"(0.0, 0.0)",500,4.839709271998976,5.0,-100,0,0,200
51,"(0.0, 0.0)",500,4.83400751199894,5.0,-100,0,0,200
52,"(0.0, 0.0)",500,4.831227903998922,5.0,-100,0,0,95
53,"(0.0, 0.0)",500,4.825526143998886,5.0,-100,0,0,200
54,"(0.0, 0.0)",500,4.822746535998868,5.0,-100,0,0,84
55,"(0.0, 0.0)",500,4.820252015998852,5.0,-100,0,0,90
56,"(0.0, 0.0)",500,4.817116047998832,5.0,-100,0,0,99
57,"(0.0, 0.0)",500,4.814407711998815,5.0,-100,0,0,95
