time,mc location,mc energy,min energy,max energy,max charge,nb_dead,nb_pack,number_pack
1,"(0.0, 0.0)",500,4.9962781199999835,5.0,-100,0,0,200
2,"(0.0, 0.0)",500,4.992556239999967,5.0,-100,0,0,200
3,"(0.0, 0.0)",500,4.9888343599999505,5.0,-100,0,0,200
4,"(0.0, 0.0)",500,4.985112479999934,5.0,-100,0,0,200
5,"(0.0, 0.0)",500,4.9813905999999175,5.0,-100,0,0,200
6,"(0.0, 0.0)",500,4.977668719999901,5.0,-100,0,0,200
7,"(0.0, 0.0)",500,4.9739468399998845,5.0,-100,0,0,200
8,"(0.0, 0.0)",500,4.970224959999868,5.0,-100,0,0,200
9,"(0.0, 0.0)",500,4.9665030799998515,5.0,-100,0,0,200
10,"(0.0, 0.0)",500,4.962781199999835,5.0,-100,0,0,200
11,"(0.0, 0.0)",500,4.9590593199998185,5.0,-100,0,0,200
12,"(0.0, 0.0)",500,4.955337439999802,5.0,-100,0,0,200
13,"(0.0, 0.0)",500,4.9516155599997855,5.0,-100,0,0,200
14,"(0.0, 0.0)",500,4.947893679999769,5.0,-100,0,0,200
15,"(0.0, 0.0)",500,4.9441717999997525,5.0,-100,0,0,200
16,"(0.0, 0.0)",500,4.940449919999736,5.0,-100,0,0,200
17,"(0.0, 0.0)",500,4.9367280399997195,5.0,-100,0,0,200
18,"(0.0, 0.0)",500,4.933006159999703,5.0,-100,0,0,200
19,"(0.0, 0.0)",500,4.9292842799996865,5.0,-100,0,0,200
20,"(0.0, 0.0)",500,4.92556239999967,5.0,-100,0,0,200
21,"(0.0, 0.0)",500,4.9218405199996536,5.0,-100,0,0,200
22,"(0.0, 0.0)",500,4.918118639999637,5.0,-100,0,0,200
23,"(0.0, 0.0)",500,4.914396759999621,5.0,-100,0,0,200
24,"(0.0, 0.0)",500,4.910674879999604,5.0,-100,0,0,200
25,"(0.0, 0.0)",500,4.906952999999588,5.0,-100,0,0,200
26,"(0.0, 0.0)",500,4.903231119999571,5.0,-100,0,0,200
27,"(0.0, 0.0)",500,4.899509239999555,5.0,-100,0,0,200
28,"(0.0, 0.0)",500,4.895787359999538,5.0,-100,0,0,200
29,"(0.0, 0.0)",500,4.892065479999522,5.0,-100,0,0,200
30,"(0.0, 0.0)",500,4.888343599999505,5.0,-100,0,0,200
31,"(0.0, 0.0)",500,4.884621719999489,5.0,-100,0,0,200
32,"(0.0, 0.0)",500,4.880899839999472,5.0,-100,0,0,200
33,"(0.0, 0.0)",500,4.877177959999456,5.0,-100,0,0,200
34,"(0.0, 0.0)",500,4.873456079999439,5.0,-100,0,0,200
35,"(0.0, 0.0)",500,4.869734199999423,5.0,-100,0,0,200
36,"(0.0, 0.0)",500,4.866012319999406,5.0,-100,0,0,200
37,"(0.0, 0.0)",500,4.86229043999939,5.0,-100,0,0,200
38,"(0.0, 0.0)",500,4.858568559999373,5.0,-100,0,0,200
39,"(0.0, 0.0)",500,4.854846679999357,5.0,-100,0,0,200
40,"(0.0, 0.0)",500,4.85112479999934,5.0,-100,0,0,200
41,"(0.0, 0.0)",500,4.847402919999324,5.0,-100,0,0,200
42,"(0.0, 0.0)",500,4.843681039999307,5.0,-100,0,0,200
43,"(0.0, 0.0)",500,4.839959159999291,5.0,-100,0,0,200
44,"(0.0, 0.0)",500,4.836237279999274,5.0,-100,0,0,200
45,"(0.0, 0.0)",500,4.832515399999258,5.0,-100,0,0,200
46,"(0.0, 0.0)",500,4.828793519999241,5.0,-100,0,0,200
47,"(0.0, 0.0)",500,4.825071639999225,5.0,-100,0,0,200
48,"(0.0, 0.0)",500,4.821349759999208,5.0,-100,0,0,200
49,"(0.0, 0.0)",500,4.817627879999192,5.0,-100,0,0,200
50,"(0.0, 0.0)",500,4.813905999999175,5.0,-100,0,0,200
51,"(0.0, 0.0)",500,4.810184119999159,5.0,-100,0,0,200
52,"(0.0, 0.0)",500,4.806462239999142,5.0,-100,0,0,200
53,"(0.0, 0.0)",500,4.802740359999126,5.0,-100,0,0,200
54,"(0.0, 0.0)",500,4.799018479999109,5.0,-100,0,0,200
55,"(0.0, 0.0)",500,4.795296599999093,5.0,-100,0,0,200
56,"(0.0, 0.0)",500,4.791574719999076,5.0,-100,0,0,200
57,"(0.0, 0.0)",500,4.78785283999906,5.0,-100,0,0,200
58,"(0.0, 0.0)",500,4.784130959999043,5.0,-100,0,0,200
59,"(0.0, 0.0)",500,4.780409079999027,5.0,-100,0,0,200
60,"(0.0, 0.0)",500,4.77668719999901,5.0,-100,0,0,200
61,"(0.0, 0.0)",500,4.772965319998994,5.0,-100,0,0,200
62,"(0.0, 0.0)",500,4.769243439998977,5.0,-100,0,0,200
63,"(0.0, 0.0)",500,4.765521559998961,5.0,-100,0,0,200
64,"(0.0, 0.0)",500,4.761799679998944,5.0,-100,0,0,200
65,"(0.0, 0.0)",500,4.758077799998928,5.0,-100,0,0,200
66,"(0.0, 0.0)",500,4.754355919998911,5.0,-100,0,0,200
67,"(0.0, 0.0)",500,4.750634039998895,5.0,-100,0,0,200
68,"(0.0, 0.0)",500,4.746912159998878,5.0,-100,0,0,200
69,"(0.0, 0.0)",500,4.743190279998862,5.0,-100,0,0,200
70,"(0.0, 0.0)",500,4.739468399998845,5.0,-100,0,0,200
71,"(0.0, 0.0)",500,4.735746519998829,5.0,-100,0,0,200
72,"(0.0, 0.0)",500,4.732024639998812,5.0,-100,0,0,200
73,"(0.0, 0.0)",500,4.728302759998796,5.0,-100,0,0,200
74,"(0.0, 0.0)",500,4.724580879998779,5.0,-100,0,0,200
75,"(0.0, 0.0)",500,4.720858999998763,5.0,-100,0,0,200
76,"(0.0, 0.0)",500,4.717137119998746,5.0,-100,0,0,200
