time,mc location,mc energy,min energy,max energy,max charge,nb_dead,nb_pack,number_pack
1,"(0.0, 0.0)",500,4.994298239999964,5.0,-100,0,0,200
2,"(0.0, 0.0)",500,4.991233543999944,5.0,-100,0,0,99
3,"(0.0, 0.0)",500,4.988667751999928,5.0,-100,0,0,87
4,"(0.0, 0.0)",500,4.98595941599991,5.0,-100,0,0,89
5,"(0.0, 0.0)",500,4.980257655999874,5.0,-100,0,0,200
6,"(0.0, 0.0)",500,4.977976951999859,5.0,-100,0,0,92
7,"(0.0, 0.0)",500,4.975553703999844,5.0,-100,0,0,76
8,"(0.0, 0.0)",500,4.9729879119998275,5.0,-100,0,0,98
9,"(0.0, 0.0)",500,4.970137031999809,5.0,-100,0,0,83
10,"(0.0, 0.0)",500,4.967642511999793,5.0,-100,0,0,85
11,"(0.0, 0.0)",500,4.965219263999778,5.0,-100,0,0,93
12,"(0.0, 0.0)",500,4.96243965599976,5.0,-100,0,0,96
13,"(0.0, 0.0)",500,4.96080039999975,5.0,-100,0,0,85
14,"(0.0, 0.0)",500,4.9585909679997355,5.0,-100,0,0,86
15,"(0.0, 0.0)",500,4.956025175999719,5.0,-100,0,0,88
16,"(0.0, 0.0)",500,4.953958287999706,5.0,-100,0,0,76
17,"(0.0, 0.0)",500,4.951321223999689,5.0,-100,0,0,92
18,"(0.0, 0.0)",500,4.945619463999653,5.0,-100,0,0,200
19,"(0.0, 0.0)",500,4.943837663999641,5.0,-100,0,0,86
20,"(0.0, 0.0)",500,4.940772967999622,5.0,-100,0,0,102
21,"(0.0, 0.0)",500,4.938420991999607,5.0,-100,0,0,95
22,"(0.0, 0.0)",500,4.93585519999959,5.0,-100,0,0,96
23,"(0.0, 0.0)",500,4.933574495999576,5.0,-100,0,0,85
24,"(0.0, 0.0)",500,4.9307236159995576,5.0,-100,0,0,94
25,"(0.0, 0.0)",500,4.927658919999538,5.0,-100,0,0,108
26,"(0.0, 0.0)",500,4.925164399999522,5.0,-100,0,0,92
27,"(0.0, 0.0)",500,4.922242247999503,5.0,-100,0,0,95
28,"(0.0, 0.0)",500,4.919818999999488,5.0,-100,0,0,88
29,"(0.0, 0.0)",500,4.91696811999947,5.0,-100,0,0,108
30,"(0.0, 0.0)",500,4.914331055999453,5.0,-100,0,0,92
31,"(0.0, 0.0)",500,4.911123815999432,5.0,-100,0,0,95
32,"(0.0, 0.0)",500,4.908344207999415,5.0,-100,0,0,86
33,"(0.0, 0.0)",500,4.905849687999399,5.0,-100,0,0,85
34,"(0.0, 0.0)",500,4.9037827999993855,5.0,-100,0,0,79
35,"(0.0, 0.0)",500,4.901217007999369,5.0,-100,0,0,92
36,"(0.0, 0.0)",500,4.895515247999333,5.0,-100,0,0,200
37,"(0.0, 0.0)",500,4.893163271999318,5.0,-100,0,0,88
38,"(0.0, 0.0)",500,4.8904549359993,5.0,-100,0,0,92
39,"(0.0, 0.0)",500,4.888245503999286,5.0,-100,0,0,89
40,"(0.0, 0.0)",500,4.88575098399927,5.0,-100,0,0,97
41,"(0.0, 0.0)",500,4.883541551999256,5.0,-100,0,0,76
42,"(0.0, 0.0)",500,4.87783979199922,5.0,-100,0,0,200
43,"(0.0, 0.0)",500,4.8751314559992025,5.0,-100,0,0,93
44,"(0.0, 0.0)",500,4.872494391999186,5.0,-100,0,0,90
45,"(0.0, 0.0)",500,4.869358423999166,5.0,-100,0,0,94
46,"(0.0, 0.0)",500,4.86693517599915,5.0,-100,0,0,91
47,"(0.0, 0.0)",500,4.8640130239991315,5.0,-100,0,0,106
48,"(0.0, 0.0)",500,4.861589775999116,5.0,-100,0,0,86
49,"(0.0, 0.0)",500,4.858810167999098,5.0,-100,0,0,98
50,"(0.0, 0.0)",500,4.853108407999062,5.0,-100,0,0,200
51,"(0.0, 0.0)",500,4.847406647999025,5.0,-100,0,0,200
52,"(0.0, 0.0)",500,4.844555767999007,5.0,-100,0,0,96
53,"(0.0, 0.0)",500,4.842275063998993,5.0,-100,0,0,92
54,"(0.0, 0.0)",500,4.836573303998956,5.0,-100,0,0,200
55,"(0.0, 0.0)",500,4.83087154399892,5.0,-100,0,0,200
56,"(0.0, 0.0)",500,4.825169783998883,5.0,-100,0,0,200
57,"(0.0, 0.0)",500,4.822889079998869,5.0,-100,0,0,92
58,"(0.0, 0.0)",500,4.820252015998852,5.0,-100,0,0,91
59,"(0.0, 0.0)",500,4.817971311998837,5.0,-100,0,0,78
60,"(0.0, 0.0)",500,4.815120431998819,5.0,-100,0,0,96
61,"(0.0, 0.0)",500,4.812839727998805,5.0,-100,0,0,86
62,"(0.0, 0.0)",500,4.8099888479987865,5.0,-100,0,0,91
63,"(0.0, 0.0)",500,4.806924151998767,5.0,-100,0,0,89
64,"(0.0, 0.0)",500,4.8012223919987305,5.0,-100,0,0,200
65,"(0.0, 0.0)",500,4.798656599998714,5.0,-100,0,0,89
66,"(0.0, 0.0)",500,4.7965184399987,5.0,-100,0,0,77
67,"(0.0, 0.0)",500,4.793881375998684,5.0,-100,0,0,88
68,"(0.0, 0.0)",500,4.791386855998668,5.0,-100,0,0,93
69,"(0.0, 0.0)",500,4.78860724799865,5.0,-100,0,0,99
70,"(0.0, 0.0)",500,4.785827639998632,5.0,-100,0,0,102
71,"(0.0, 0.0)",500,4.783404391998617,5.0,-100,0,0,79
72,"(0.0, 0.0)",500,4.781052415998602,5.0,-100,0,0,84
73,"(0.0, 0.0)",500,4.775350655998565,5.0,-100,0,0,200
74,"(0.0, 0.0)",500,4.769648895998529,5.0,-100,0,0,200
75,"(0.0, 0.0)",500,4.767154375998513,5.0,-100,0,0,92
76,"(0.0, 0.0)",500,4.7653725759985015,5.0,-100,0,0,69
77,"(0.0, 0.0)",500,4.7630205999984865,5.0,-100,0,0,94
78,"(0.0, 0.0)",500,4.760098447998468,5.0,-100,0,0,91
79,"(0.0, 0.0)",500,4.757603927998452,5.0,-100,0,0,86
80,"(0.0, 0.0)",500,4.754467959998432,5.0,-100,0,0,101
81,"(0.0, 0.0)",500,4.751973439998416,5.0,-100,0,0,91
82,"(0.0, 0.0)",500,4.749265103998399,5.0,-100,0,0,100
83,"(0.0, 0.0)",500,4.746841855998383,5.0,-100,0,0,87
84,"(0.0, 0.0)",500,4.743990975998365,5.0,-100,0,0,96
85,"(0.0, 0.0)",500,4.741068823998346,5.0,-100,0,0,100
86,"(0.0, 0.0)",500,4.73850303199833,5.0,-100,0,0,83
87,"(0.0, 0.0)",500,4.735794695998313,5.0,-100,0,0,100
88,"(0.0, 0.0)",500,4.733442719998298,5.0,-100,0,0,84
89,"(0.0, 0.0)",500,4.73073438399828,5.0,-100,0,0,102
90,"(0.0, 0.0)",500,4.728596223998267,5.0,-100,0,0,82
91,"(0.0, 0.0)",500,4.726101703998251,5.0,-100,0,0,90
92,"(0.0, 0.0)",500,4.723322095998233,5.0,-100,0,0,92
93,"(0.0, 0.0)",500,4.720399943998214,5.0,-100,0,0,89
94,"(0.0, 0.0)",500,4.717976695998199,5.0,-100,0,0,92
95,"(0.0, 0.0)",500,4.715410903998182,5.0,-100,0,0,87
96,"(0.0, 0.0)",500,4.712702567998165,5.0,-100,0,0,87
97,"(0.0, 0.0)",500,4.707000807998129,5.0,-100,0,0,200
98,"(0.0, 0.0)",500,4.704292471998111,5.0,-100,0,0,98
99,"(0.0, 0.0)",500,4.701655407998095,5.0,-100,0,0,95
100,"(0.0, 0.0)",500,4.69937470399808,5.0,-100,0,0,84
101,"(0.0, 0.0)",500,4.696452551998061,5.0,-100,0,0,85
102,"(0.0, 0.0)",500,4.6938154879980445,5.0,-100,0,0,80
103,"(0.0, 0.0)",500,4.691392239998029,5.0,-100,0,0,91
104,"(0.0, 0.0)",500,4.689182807998015,5.0,-100,0,0,88
105,"(0.0, 0.0)",500,4.686545743997998,5.0,-100,0,0,95
106,"(0.0, 0.0)",500,4.683623591997979,5.0,-100,0,0,92
107,"(0.0, 0.0)",500,4.680843983997962,5.0,-100,0,0,83
108,"(0.0, 0.0)",500,4.678064375997944,5.0,-100,0,0,85
109,"(0.0, 0.0)",500,4.676140031997932,5.0,-100,0,0,80
110,"(0.0, 0.0)",500,4.673289151997913,5.0,-100,0,0,98
111,"(0.0, 0.0)",500,4.670937175997898,5.0,-100,0,0,88
112,"(0.0, 0.0)",500,4.668157567997881,5.0,-100,0,0,94
113,"(0.0, 0.0)",500,4.66487905599786,5.0,-100,0,0,99
114,"(0.0, 0.0)",500,4.662455807997844,5.0,-100,0,0,90
115,"(0.0, 0.0)",500,4.659818743997827,5.0,-100,0,0,95
116,"(0.0, 0.0)",500,4.654116983997791,5.0,-100,0,0,200
117,"(0.0, 0.0)",500,4.651907551997777,5.0,-100,0,0,88
118,"(0.0, 0.0)",500,4.648985399997758,5.0,-100,0,0,86
119,"(0.0, 0.0)",500,4.646419607997742,5.0,-100,0,0,89
120,"(0.0, 0.0)",500,4.643568727997724,5.0,-100,0,0,90
121,"(0.0, 0.0)",500,4.640717847997705,5.0,-100,0,0,91
122,"(0.0, 0.0)",500,4.635016087997669,5.0,-100,0,0,200
123,"(0.0, 0.0)",500,4.631880119997649,5.0,-100,0,0,92
124,"(0.0, 0.0)",500,4.6261783599976125,5.0,-100,0,0,200
125,"(0.0, 0.0)",500,4.620476599997576,5.0,-100,0,0,200
126,"(0.0, 0.0)",500,4.618053351997561,5.0,-100,0,0,84
127,"(0.0, 0.0)",500,4.615630103997545,5.0,-100,0,0,88
