time,mc location,mc energy,min energy,max energy,max charge,nb_dead,nb_pack,number_pack
1,"(0.0, 0.0)",500,4.995097115999974,5.0,-100,0,0,200
2,"(0.0, 0.0)",500,4.990194231999949,5.0,-100,0,0,200
3,"(0.0, 0.0)",500,4.985291347999923,5.0,-100,0,0,200
4,"(0.0, 0.0)",500,4.980388463999898,5.0,-100,0,0,200
5,"(0.0, 0.0)",500,4.975485579999872,5.0,-100,0,0,200
6,"(0.0, 0.0)",500,4.9705826959998465,5.0,-100,0,0,200
7,"(0.0, 0.0)",500,4.965679811999821,5.0,-100,0,0,200
8,"(0.0, 0.0)",500,4.960776927999795,5.0,-100,0,0,200
9,"(0.0, 0.0)",500,4.95587404399977,5.0,-100,0,0,200
10,"(0.0, 0.0)",500,4.950971159999744,5.0,-100,0,0,200
11,"(0.0, 0.0)",500,4.9460682759997185,5.0,-100,0,0,200
12,"(0.0, 0.0)",500,4.941165391999693,5.0,-100,0,0,200
13,"(0.0, 0.0)",500,4.936262507999667,5.0,-100,0,0,200
14,"(0.0, 0.0)",500,4.931359623999642,5.0,-100,0,0,200
15,"(0.0, 0.0)",500,4.926456739999616,5.0,-100,0,0,200
16,"(0.0, 0.0)",500,4.921553855999591,5.0,-100,0,0,200
17,"(0.0, 0.0)",500,4.916650971999565,5.0,-100,0,0,200
18,"(0.0, 0.0)",500,4.911748087999539,5.0,-100,0,0,200
19,"(0.0, 0.0)",500,4.906845203999514,5.0,-100,0,0,200
20,"(0.0, 0.0)",500,4.901942319999488,5.0,-100,0,0,200
21,"(0.0, 0.0)",500,4.897039435999463,5.0,-100,0,0,200
22,"(0.0, 0.0)",500,4.892136551999437,5.0,-100,0,0,200
23,"(0.0, 0.0)",500,4.8872336679994115,5.0,-100,0,0,200
24,"(0.0, 0.0)",500,4.882330783999386,5.0,-100,0,0,200
25,"(0.0, 0.0)",500,4.87742789999936,5.0,-100,0,0,200
26,"(0.0, 0.0)",500,4.872525015999335,5.0,-100,0,0,200
27,"(0.0, 0.0)",500,4.867622131999309,5.0,-100,0,0,200
28,"(0.0, 0.0)",500,4.862719247999284,5.0,-100,0,0,200
29,"(0.0, 0.0)",500,4.857816363999258,5.0,-100,0,0,200
30,"(0.0, 0.0)",500,4.852913479999232,5.0,-100,0,0,200
31,"(0.0, 0.0)",500,4.848010595999207,5.0,-100,0,0,200
32,"(0.0, 0.0)",500,4.843107711999181,5.0,-100,0,0,200
33,"(0.0, 0.0)",500,4.838204827999156,5.0,-100,0,0,200
34,"(0.0, 0.0)",500,4.83330194399913,5.0,-100,0,0,200
35,"(0.0, 0.0)",500,4.8283990599991045,5.0,-100,0,0,200
36,"(0.0, 0.0)",500,4.823496175999079,5.0,-100,0,0,200
37,"(0.0, 0.0)",500,4.818593291999053,5.0,-100,0,0,200
38,"(0.0, 0.0)",500,4.813690407999028,5.0,-100,0,0,200
39,"(0.0, 0.0)",500,4.808787523999002,5.0,-100,0,0,200
40,"(0.0, 0.0)",500,4.8038846399989765,5.0,-100,0,0,200
41,"(0.0, 0.0)",500,4.798981755998951,5.0,-100,0,0,200
42,"(0.0, 0.0)",500,4.794078871998925,5.0,-100,0,0,200
43,"(0.0, 0.0)",500,4.7891759879989,5.0,-100,0,0,200
44,"(0.0, 0.0)",500,4.784273103998874,5.0,-100,0,0,200
45,"(0.0, 0.0)",500,4.779370219998849,5.0,-100,0,0,200
46,"(0.0, 0.0)",500,4.774467335998823,5.0,-100,0,0,200
47,"(0.0, 0.0)",500,4.769564451998797,5.0,-100,0,0,200
48,"(0.0, 0.0)",500,4.764661567998772,5.0,-100,0,0,200
49,"(0.0, 0.0)",500,4.759758683998746,5.0,-100,0,0,200
50,"(0.0, 0.0)",500,4.754855799998721,5.0,-100,0,0,200
51,"(0.0, 0.0)",500,4.749952915998695,5.0,-100,0,0,200
52,"(0.0, 0.0)",500,4.7450500319986695,5.0,-100,0,0,200
53,"(0.0, 0.0)",500,4.740147147998644,5.0,-100,0,0,200
54,"(0.0, 0.0)",500,4.735244263998618,5.0,-100,0,0,200
55,"(0.0, 0.0)",500,4.730341379998593,5.0,-100,0,0,200
56,"(0.0, 0.0)",500,4.725438495998567,5.0,-100,0,0,200
57,"(0.0, 0.0)",500,4.7205356119985415,5.0,-100,0,0,200
58,"(0.0, 0.0)",500,4.715632727998516,5.0,-100,0,0,200
59,"(0.0, 0.0)",500,4.71072984399849,5.0,-100,0,0,200
60,"(0.0, 0.0)",500,4.705826959998465,5.0,-100,0,0,200
61,"(0.0, 0.0)",500,4.700924075998439,5.0,-100,0,0,200
62,"(0.0, 0.0)",500,4.696021191998414,5.0,-100,0,0,200
63,"(0.0, 0.0)",500,4.691118307998388,5.0,-100,0,0,200
64,"(0.0, 0.0)",500,4.686215423998362,5.0,-100,0,0,200
65,"(0.0, 0.0)",500,4.681312539998337,5.0,-100,0,0,200
66,"(0.0, 0.0)",500,4.676409655998311,5.0,-100,0,0,200
67,"(0.0, 0.0)",500,4.671506771998286,5.0,-100,0,0,200
68,"(0.0, 0.0)",500,4.66660388799826,5.0,-100,0,0,200
69,"(0.0, 0.0)",500,4.6617010039982345,5.0,-100,0,0,200
70,"(0.0, 0.0)",500,4.656798119998209,5.0,-100,0,0,200
71,"(0.0, 0.0)",500,4.651895235998183,5.0,-100,0,0,200
72,"(0.0, 0.0)",500,4.646992351998158,5.0,-100,0,0,200
73,"(0.0, 0.0)",500,4.642089467998132,5.0,-100,0,0,200
74,"(0.0, 0.0)",500,4.637186583998107,5.0,-100,0,0,200
