time,mc energy,min energy
1,500,9.998119500000016
2,500,9.996840760000026
3,500,9.995336360000039
4,500,9.99351424800004
5,500,9.99173244800005
6,500,9.99023573600006
7,500,9.988311392000071
8,500,9.986315776000083
9,500,9.984747792000093
10,500,9.982752176000105
11,500,9.980827832000116
12,500,9.978832216000129
13,500,9.977691864000136
14,500,9.976123880000145
15,500,9.974484624000155
16,500,9.972845368000165
17,500,9.971633744000172
18,500,9.969709400000184
19,500,9.968283960000193
20,500,9.966502160000204
21,500,9.964292728000217
