time,nb dead,nb package,numpack,min E,max E
1,0,0,100,9.997779284000016,10
2,0,0,97,9.995200388000034,10
3,0,0,110,9.992693128000052,10
4,0,0,102,9.990400776000069,10
5,0,0,104,9.987861880000088,10
6,0,0,89,9.985609528000104,10
7,0,0,112,9.983070632000123,10
8,0,0,99,9.980460100000142,10
9,0,0,111,9.977737932000162,10
10,0,0,105,9.974912492000183,10
11,0,0,89,9.972373596000201,10
12,0,0,98,9.970152880000217,10
13,0,0,98,9.968003800000233,10
14,0,0,104,9.965424904000251,10
15,0,0,94,9.963132552000268,10
16,0,0,99,9.960880200000284,10
17,0,0,81,9.958914392000299,10
18,0,0,94,9.957091856000313,10
19,0,0,94,9.954799504000329,10
20,0,0,112,9.95197406400035,10
21,0,0,103,9.949435168000369,10
22,0,0,99,9.947254452000385,10
23,0,0,94,9.9451053720004,10
24,0,0,87,9.943027928000415,10
25,0,0,92,9.940632304000433,10
26,0,0,102,9.93837995200045,10
27,0,0,104,9.936342508000465,10
28,0,0,100,9.93437670000048,10
29,0,0,99,9.932124348000496,10
30,0,0,96,9.929903632000512,10
31,0,0,106,9.926894920000533,10
32,0,0,96,9.92457093200055,10
33,0,0,107,9.92199203600057,10
34,0,0,110,9.919341504000588,10
35,0,0,116,9.916659336000608,10
36,0,0,97,9.914048804000627,10
37,0,0,114,9.911366636000647,10
38,0,0,121,9.908716104000666,10
39,0,0,102,9.905747392000688,10
40,0,0,111,9.90273868000071,10
41,0,0,99,9.900374692000726,10
42,0,0,103,9.897764160000746,10
43,0,0,107,9.895041992000765,10
44,0,0,87,9.892749640000781,10
45,0,0,99,9.890314016000799,10
46,0,0,97,9.887846756000817,10
47,0,0,98,9.885697676000833,10
48,0,0,103,9.883588596000848,10
49,0,0,101,9.881121336000867,10
50,0,0,98,9.878399168000886,10
51,0,0,94,9.876003544000904,10
52,0,0,89,9.873464648000922,10
53,0,0,104,9.870885752000941,10
54,0,0,101,9.86823522000096,10
55,0,0,92,9.866157776000975,10
56,0,0,109,9.863722152000992,10
57,0,0,101,9.861183256001011,10
58,0,0,88,9.859535628001023,10
59,0,0,92,9.856996732001042,10
60,0,0,93,9.854704380001058,10
61,0,0,98,9.852268756001076,10
62,0,0,101,9.849546588001095,10
63,0,0,105,9.847365872001111,10
64,0,0,101,9.844612068001132,10
