time,mc location,mc energy,min energy,max energy,max charge,nb_dead,nb_pack,number_pack
1,"(0.0, 0.0)",500,4.994298239999964,5.0,-100,0,0,200
2,"(0.0, 0.0)",500,4.988596479999927,5.0,-100,0,0,200
3,"(0.0, 0.0)",500,4.982894719999891,5.0,-100,0,0,200
4,"(0.0, 0.0)",500,4.980328927999874,5.0,-100,0,0,82
5,"(0.0, 0.0)",500,4.974627167999838,5.0,-100,0,0,200
6,"(0.0, 0.0)",500,4.97177628799982,5.0,-100,0,0,99
7,"(0.0, 0.0)",500,4.969353039999804,5.0,-100,0,0,86
8,"(0.0, 0.0)",500,4.963651279999768,5.0,-100,0,0,200
9,"(0.0, 0.0)",500,4.96087167199975,5.0,-100,0,0,85
10,"(0.0, 0.0)",500,4.958020791999732,5.0,-100,0,0,96
11,"(0.0, 0.0)",500,4.955526271999716,5.0,-100,0,0,101
12,"(0.0, 0.0)",500,4.9529604799997,5.0,-100,0,0,97
13,"(0.0, 0.0)",500,4.950822319999686,5.0,-100,0,0,76
14,"(0.0, 0.0)",500,4.9482565279996695,5.0,-100,0,0,92
15,"(0.0, 0.0)",500,4.942554767999633,5.0,-100,0,0,200
16,"(0.0, 0.0)",500,4.939846431999616,5.0,-100,0,0,86
17,"(0.0, 0.0)",500,4.936781735999596,5.0,-100,0,0,105
18,"(0.0, 0.0)",500,4.93107997599956,5.0,-100,0,0,200
19,"(0.0, 0.0)",500,4.928514183999543,5.0,-100,0,0,88
20,"(0.0, 0.0)",500,4.922812423999507,5.0,-100,0,0,200
21,"(0.0, 0.0)",500,4.92017535999949,5.0,-100,0,0,90
22,"(0.0, 0.0)",500,4.917538295999473,5.0,-100,0,0,101
23,"(0.0, 0.0)",500,4.915043775999457,5.0,-100,0,0,88
24,"(0.0, 0.0)",500,4.912691799999442,5.0,-100,0,0,85
25,"(0.0, 0.0)",500,4.9100547359994255,5.0,-100,0,0,99
26,"(0.0, 0.0)",500,4.90763148799941,5.0,-100,0,0,83
27,"(0.0, 0.0)",500,4.9053507839993955,5.0,-100,0,0,75
28,"(0.0, 0.0)",500,4.899649023999359,5.0,-100,0,0,200
29,"(0.0, 0.0)",500,4.897011959999342,5.0,-100,0,0,85
30,"(0.0, 0.0)",500,4.894374895999325,5.0,-100,0,0,92
31,"(0.0, 0.0)",500,4.888673135999289,5.0,-100,0,0,200
32,"(0.0, 0.0)",500,4.885964799999272,5.0,-100,0,0,87
33,"(0.0, 0.0)",500,4.883185191999254,5.0,-100,0,0,96
34,"(0.0, 0.0)",500,4.8774834319992175,5.0,-100,0,0,200
35,"(0.0, 0.0)",500,4.875345271999204,5.0,-100,0,0,89
36,"(0.0, 0.0)",500,4.873064567999189,5.0,-100,0,0,88
37,"(0.0, 0.0)",500,4.870712591999174,5.0,-100,0,0,79
38,"(0.0, 0.0)",500,4.865010831999138,5.0,-100,0,0,200
39,"(0.0, 0.0)",500,4.862516311999122,5.0,-100,0,0,87
40,"(0.0, 0.0)",500,4.8600930639991065,5.0,-100,0,0,91
41,"(0.0, 0.0)",500,4.85745599999909,5.0,-100,0,0,88
42,"(0.0, 0.0)",500,4.855032751999074,5.0,-100,0,0,93
43,"(0.0, 0.0)",500,4.852680775999059,5.0,-100,0,0,82
44,"(0.0, 0.0)",500,4.8504000719990445,5.0,-100,0,0,84
45,"(0.0, 0.0)",500,4.844698311999008,5.0,-100,0,0,200
46,"(0.0, 0.0)",500,4.841989975998991,5.0,-100,0,0,97
47,"(0.0, 0.0)",500,4.8384976479989685,5.0,-100,0,0,101
48,"(0.0, 0.0)",500,4.836074399998953,5.0,-100,0,0,87
49,"(0.0, 0.0)",500,4.833579879998937,5.0,-100,0,0,93
50,"(0.0, 0.0)",500,4.831299175998923,5.0,-100,0,0,87
51,"(0.0, 0.0)",500,4.828804655998907,5.0,-100,0,0,82
52,"(0.0, 0.0)",500,4.82310289599887,5.0,-100,0,0,200
53,"(0.0, 0.0)",500,4.820394559998853,5.0,-100,0,0,84
54,"(0.0, 0.0)",500,4.817543679998835,5.0,-100,0,0,91
55,"(0.0, 0.0)",500,4.8146927999988165,5.0,-100,0,0,89
56,"(0.0, 0.0)",500,4.811699375998797,5.0,-100,0,0,100
57,"(0.0, 0.0)",500,4.8092048559987814,5.0,-100,0,0,83
58,"(0.0, 0.0)",500,4.806353975998763,5.0,-100,0,0,92
59,"(0.0, 0.0)",500,4.8035743679987455,5.0,-100,0,0,89
60,"(0.0, 0.0)",500,4.800937303998729,5.0,-100,0,0,98
61,"(0.0, 0.0)",500,4.798799143998715,5.0,-100,0,0,80
62,"(0.0, 0.0)",500,4.796019535998697,5.0,-100,0,0,94
63,"(0.0, 0.0)",500,4.793453743998681,5.0,-100,0,0,91
64,"(0.0, 0.0)",500,4.790816679998664,5.0,-100,0,0,89
65,"(0.0, 0.0)",500,4.788464703998649,5.0,-100,0,0,89
66,"(0.0, 0.0)",500,4.78554255199863,5.0,-100,0,0,96
67,"(0.0, 0.0)",500,4.782477855998611,5.0,-100,0,0,89
68,"(0.0, 0.0)",500,4.779840791998594,5.0,-100,0,0,87
69,"(0.0, 0.0)",500,4.7741390319985575,5.0,-100,0,0,200
70,"(0.0, 0.0)",500,4.771573239998541,5.0,-100,0,0,86
71,"(0.0, 0.0)",500,4.765871479998505,5.0,-100,0,0,200
72,"(0.0, 0.0)",500,4.760169719998468,5.0,-100,0,0,200
73,"(0.0, 0.0)",500,4.75724756799845,5.0,-100,0,0,100
74,"(0.0, 0.0)",500,4.75411159999843,5.0,-100,0,0,107
75,"(0.0, 0.0)",500,4.751688351998414,5.0,-100,0,0,83
76,"(0.0, 0.0)",500,4.749193831998398,5.0,-100,0,0,90
77,"(0.0, 0.0)",500,4.74641422399838,5.0,-100,0,0,93
78,"(0.0, 0.0)",500,4.743777159998364,5.0,-100,0,0,91
79,"(0.0, 0.0)",500,4.7406411919983436,5.0,-100,0,0,98
80,"(0.0, 0.0)",500,4.7382892159983285,5.0,-100,0,0,86
81,"(0.0, 0.0)",500,4.732587455998292,5.0,-100,0,0,200
82,"(0.0, 0.0)",500,4.730021663998276,5.0,-100,0,0,88
83,"(0.0, 0.0)",500,4.727455871998259,5.0,-100,0,0,86
84,"(0.0, 0.0)",500,4.721754111998223,5.0,-100,0,0,200
85,"(0.0, 0.0)",500,4.718689415998203,5.0,-100,0,0,96
86,"(0.0, 0.0)",500,4.715838535998185,5.0,-100,0,0,94
87,"(0.0, 0.0)",500,4.713842919998172,5.0,-100,0,0,91
88,"(0.0, 0.0)",500,4.708141159998136,5.0,-100,0,0,200
89,"(0.0, 0.0)",500,4.7024393999981,5.0,-100,0,0,200
90,"(0.0, 0.0)",500,4.700515055998087,5.0,-100,0,0,84
91,"(0.0, 0.0)",500,4.698020535998071,5.0,-100,0,0,94
92,"(0.0, 0.0)",500,4.695027111998052,5.0,-100,0,0,99
93,"(0.0, 0.0)",500,4.692318775998035,5.0,-100,0,0,85
94,"(0.0, 0.0)",500,4.689467895998017,5.0,-100,0,0,97
95,"(0.0, 0.0)",500,4.686830831998,5.0,-100,0,0,93
96,"(0.0, 0.0)",500,4.684478855997985,5.0,-100,0,0,87
97,"(0.0, 0.0)",500,4.682055607997969,5.0,-100,0,0,88
98,"(0.0, 0.0)",500,4.679347271997952,5.0,-100,0,0,91
99,"(0.0, 0.0)",500,4.675783671997929,5.0,-100,0,0,98
100,"(0.0, 0.0)",500,4.672861519997911,5.0,-100,0,0,101
101,"(0.0, 0.0)",500,4.6700106399978925,5.0,-100,0,0,110
102,"(0.0, 0.0)",500,4.667444847997876,5.0,-100,0,0,98
103,"(0.0, 0.0)",500,4.66174308799784,5.0,-100,0,0,200
104,"(0.0, 0.0)",500,4.656041327997803,5.0,-100,0,0,200
105,"(0.0, 0.0)",500,4.653831895997789,5.0,-100,0,0,86
106,"(0.0, 0.0)",500,4.648130135997753,5.0,-100,0,0,200
107,"(0.0, 0.0)",500,4.642428375997716,5.0,-100,0,0,200
108,"(0.0, 0.0)",500,4.6398625839977,5.0,-100,0,0,89
109,"(0.0, 0.0)",500,4.63679788799768,5.0,-100,0,0,98
110,"(0.0, 0.0)",500,4.634588455997666,5.0,-100,0,0,78
111,"(0.0, 0.0)",500,4.631951391997649,5.0,-100,0,0,92
112,"(0.0, 0.0)",500,4.6293143279976325,5.0,-100,0,0,91
113,"(0.0, 0.0)",500,4.626392175997614,5.0,-100,0,0,95
114,"(0.0, 0.0)",500,4.623755111997597,5.0,-100,0,0,102
115,"(0.0, 0.0)",500,4.621545679997583,5.0,-100,0,0,85
116,"(0.0, 0.0)",500,4.618908615997566,5.0,-100,0,0,84
117,"(0.0, 0.0)",500,4.616200279997549,5.0,-100,0,0,91
118,"(0.0, 0.0)",500,4.610498519997512,5.0,-100,0,0,200
119,"(0.0, 0.0)",500,4.608716719997501,5.0,-100,0,0,73
120,"(0.0, 0.0)",500,4.606436015997486,5.0,-100,0,0,84
121,"(0.0, 0.0)",500,4.60073425599745,5.0,-100,0,0,200
122,"(0.0, 0.0)",500,4.598453551997435,5.0,-100,0,0,73
123,"(0.0, 0.0)",500,4.596172847997421,5.0,-100,0,0,79
124,"(0.0, 0.0)",500,4.593250695997402,5.0,-100,0,0,97
125,"(0.0, 0.0)",500,4.5904710879973845,5.0,-100,0,0,92
126,"(0.0, 0.0)",500,4.58819038399737,5.0,-100,0,0,88
127,"(0.0, 0.0)",500,4.585410775997352,5.0,-100,0,0,94
128,"(0.0, 0.0)",500,4.583415159997339,5.0,-100,0,0,84
129,"(0.0, 0.0)",500,4.58042173599732,5.0,-100,0,0,102
130,"(0.0, 0.0)",500,4.577784671997303,5.0,-100,0,0,96
131,"(0.0, 0.0)",500,4.572082911997267,5.0,-100,0,0,200
132,"(0.0, 0.0)",500,4.570087295997254,5.0,-100,0,0,80
133,"(0.0, 0.0)",500,4.567093871997235,5.0,-100,0,0,94
