time,nb dead,nb package,numpack,min E,max E
1,0,0,200,4.995097115999974,5.0
2,0,0,200,4.990194231999949,5.0
3,0,0,200,4.985291347999923,5.0
4,0,0,200,4.980388463999898,5.0
5,0,0,200,4.975485579999872,5.0
6,0,0,200,4.9705826959998465,5.0
7,0,0,200,4.965679811999821,5.0
8,0,0,200,4.960776927999795,5.0
9,0,0,200,4.95587404399977,5.0
10,0,0,200,4.950971159999744,5.0
11,0,0,200,4.9460682759997185,5.0
12,0,0,200,4.941165391999693,5.0
13,0,0,200,4.936262507999667,5.0
14,0,0,200,4.931359623999642,5.0
15,0,0,200,4.926456739999616,5.0
16,0,0,200,4.921553855999591,5.0
17,0,0,200,4.916650971999565,5.0
18,0,0,200,4.911748087999539,5.0
19,0,0,200,4.906845203999514,5.0
20,0,0,200,4.901942319999488,5.0
21,0,0,200,4.897039435999463,5.0
22,0,0,200,4.892136551999437,5.0
23,0,0,200,4.8872336679994115,5.0
24,0,0,200,4.882330783999386,5.0
25,0,0,200,4.87742789999936,5.0
26,0,0,200,4.872525015999335,5.0
27,0,0,200,4.867622131999309,5.0
28,0,0,200,4.862719247999284,5.0
29,0,0,200,4.857816363999258,5.0
30,0,0,200,4.852913479999232,5.0
31,0,0,200,4.848010595999207,5.0
32,0,0,200,4.843107711999181,5.0
33,0,0,200,4.838204827999156,5.0
34,0,0,200,4.83330194399913,5.0
35,0,0,200,4.8283990599991045,5.0
36,0,0,200,4.823496175999079,5.0
37,0,0,200,4.818593291999053,5.0
38,0,0,200,4.813690407999028,5.0
39,0,0,200,4.808787523999002,5.0
40,0,0,200,4.8038846399989765,5.0
41,0,0,200,4.798981755998951,5.0
42,0,0,200,4.794078871998925,5.0
43,0,0,200,4.7891759879989,5.0
44,0,0,200,4.784273103998874,5.0
45,0,0,200,4.779370219998849,5.0
46,0,0,200,4.774467335998823,5.0
47,0,0,200,4.769564451998797,5.0
48,0,0,200,4.764661567998772,5.0
49,0,0,200,4.759758683998746,5.0
50,0,0,200,4.754855799998721,5.0
51,0,0,200,4.749952915998695,5.0
52,0,0,200,4.7450500319986695,5.0
53,0,0,200,4.740147147998644,5.0
54,0,0,200,4.735244263998618,5.0
55,0,0,200,4.730341379998593,5.0
56,0,0,200,4.725438495998567,5.0
57,0,0,200,4.7205356119985415,5.0
58,0,0,200,4.715632727998516,5.0
59,0,0,200,4.71072984399849,5.0
60,0,0,200,4.705826959998465,5.0
61,0,0,200,4.700924075998439,5.0
62,0,0,200,4.696021191998414,5.0
63,0,0,200,4.691118307998388,5.0
64,0,0,200,4.686215423998362,5.0
65,0,0,200,4.681312539998337,5.0
66,0,0,200,4.676409655998311,5.0
67,0,0,200,4.671506771998286,5.0
68,0,0,200,4.66660388799826,5.0
69,0,0,200,4.6617010039982345,5.0
70,0,0,200,4.656798119998209,5.0
71,0,0,200,4.651895235998183,5.0
72,0,0,200,4.646992351998158,5.0
73,0,0,200,4.642089467998132,5.0
74,0,0,200,4.637186583998107,5.0
75,0,0,200,4.632283699998081,5.0
76,0,0,200,4.627380815998055,5.0
77,0,0,200,4.62247793199803,5.0
78,0,0,200,4.617575047998004,5.0
79,0,0,200,4.612672163997979,5.0
80,0,0,200,4.607769279997953,5.0
81,0,0,200,4.6028663959979275,5.0
82,0,0,200,4.597963511997902,5.0
83,0,0,200,4.593060627997876,5.0
84,0,0,200,4.588157743997851,5.0
85,0,0,200,4.583254859997825,5.0
86,0,0,200,4.5783519759977995,5.0
87,0,0,200,4.573449091997774,5.0
88,0,0,200,4.568546207997748,5.0
89,0,0,200,4.563643323997723,5.0
90,0,0,200,4.558740439997697,5.0
91,0,0,200,4.553837555997672,5.0
92,0,0,200,4.548934671997646,5.0
93,0,0,200,4.54403178799762,5.0
94,0,0,200,4.539128903997595,5.0
95,0,0,200,4.534226019997569,5.0
96,0,0,200,4.529323135997544,5.0
97,0,0,200,4.524420251997518,5.0
98,0,0,200,4.5195173679974925,5.0
99,0,0,200,4.514614483997467,5.0
100,0,0,200,4.509711599997441,5.0
101,0,0,200,4.504808715997416,5.0
102,0,0,200,4.49990583199739,5.0
103,0,0,200,4.4950029479973646,5.0
104,0,0,200,4.490100063997339,5.0
105,0,0,200,4.485197179997313,5.0
106,0,0,200,4.480294295997288,5.0
107,0,0,200,4.475391411997262,5.0
108,0,0,200,4.470488527997237,5.0
109,0,0,200,4.465585643997211,5.0
110,0,0,200,4.460682759997185,5.0
111,0,0,200,4.45577987599716,5.0
112,0,0,200,4.450876991997134,5.0
113,0,0,200,4.445974107997109,5.0
114,0,0,200,4.441071223997083,5.0
115,0,0,200,4.4361683399970575,5.0
116,0,0,200,4.431265455997032,5.0
117,0,0,200,4.426362571997006,5.0
118,0,0,200,4.421459687996981,5.0
119,0,0,200,4.416556803996955,5.0
120,0,0,200,4.41165391999693,5.0
121,0,0,200,4.406751035996904,5.0
122,0,0,200,4.401848151996878,5.0
123,0,0,200,4.396945267996853,5.0
124,0,0,200,4.392042383996827,5.0
125,0,0,200,4.387139499996802,5.0
126,0,0,200,4.382236615996776,5.0
127,0,0,200,4.3773337319967505,5.0
128,0,0,200,4.372430847996725,5.0
129,0,0,200,4.367527963996699,5.0
130,0,0,200,4.362625079996674,5.0
131,0,0,200,4.357722195996648,5.0
132,0,0,200,4.3528193119966225,5.0
133,0,0,200,4.347916427996597,5.0
134,0,0,200,4.343013543996571,5.0
135,0,0,200,4.338110659996546,5.0
136,0,0,200,4.33320777599652,5.0
137,0,0,200,4.328304891996495,5.0
138,0,0,200,4.323402007996469,5.0
139,0,0,200,4.318499123996443,5.0
140,0,0,200,4.313596239996418,5.0
141,0,0,200,4.308693355996392,5.0
142,0,0,200,4.303790471996367,5.0
143,0,0,200,4.298887587996341,5.0
144,0,0,200,4.2939847039963155,5.0
145,0,0,200,4.28908181999629,5.0
146,0,0,200,4.284178935996264,5.0
147,0,0,200,4.279276051996239,5.0
148,0,0,200,4.274373167996213,5.0
149,0,0,200,4.2694702839961876,5.0
150,0,0,200,4.264567399996162,5.0
151,0,0,200,4.259664515996136,5.0
152,0,0,200,4.254761631996111,5.0
153,0,0,200,4.249858747996085,5.0
154,0,0,200,4.24495586399606,5.0
155,0,0,200,4.240052979996034,5.0
156,0,0,200,4.2351500959960084,5.0
157,0,0,200,4.230247211995983,5.0
158,0,0,200,4.225344327995957,5.0
159,0,0,200,4.220441443995932,5.0
160,0,0,200,4.215538559995906,5.0
161,0,0,200,4.2106356759958805,5.0
162,0,0,200,4.205732791995855,5.0
163,0,0,200,4.200829907995829,5.0
164,0,0,200,4.195927023995804,5.0
165,0,0,200,4.191024139995778,5.0
166,0,0,200,4.186121255995753,5.0
167,0,0,200,4.181218371995727,5.0
168,0,0,200,4.176315487995701,5.0
169,0,0,200,4.171412603995676,5.0
170,0,0,200,4.16650971999565,5.0
171,0,0,200,4.161606835995625,5.0
172,0,0,200,4.156703951995599,5.0
173,0,0,200,4.1518010679955735,5.0
174,0,0,200,4.146898183995548,5.0
175,0,0,200,4.141995299995522,5.0
176,0,0,200,4.137092415995497,5.0
177,0,0,200,4.132189531995471,5.0
178,0,0,200,4.1272866479954455,5.0
179,0,0,200,4.12238376399542,5.0
180,0,0,200,4.117480879995394,5.0
181,0,0,200,4.112577995995369,5.0
182,0,0,200,4.107675111995343,5.0
183,0,0,200,4.102772227995318,5.0
184,0,0,200,4.097869343995292,5.0
185,0,0,200,4.092966459995266,5.0
186,0,0,200,4.088063575995241,5.0
187,0,0,200,4.083160691995215,5.0
188,0,0,200,4.07825780799519,5.0
189,0,0,200,4.073354923995164,5.0
190,0,0,200,4.0684520399951385,5.0
191,0,0,200,4.063549155995113,5.0
192,0,0,200,4.058646271995087,5.0
193,0,0,200,4.053743387995062,5.0
194,0,0,200,4.048840503995036,5.0
195,0,0,200,4.043937619995011,5.0
196,0,0,200,4.039034735994985,5.0
197,0,0,200,4.034131851994959,5.0
198,0,0,200,4.029228967994934,5.0
199,0,0,200,4.024326083994908,5.0
200,0,0,200,4.019423199994883,5.0
201,0,0,200,4.014520315994857,5.0
202,0,0,200,4.0096174319948314,5.0
203,0,0,200,4.004714547994806,5.0
204,0,0,200,3.9998116639947816,5.0
205,0,0,200,3.994908779994786,5.0
206,0,0,200,3.990005895994791,5.0
207,0,0,200,3.9851030119947954,5.0
208,0,0,200,3.9802001279948,5.0
209,0,0,200,3.9752972439948047,5.0
210,0,0,200,3.9703943599948093,5.0
