time,nb dead,nb package,numpack,min E,max E
1,0,0,93,9.997569272,10
2,0,0,100,9.995638988,10
3,0,0,107,9.993417852000048,10
4,0,0,111,9.990807320000068,10
5,0,0,97,9.988554968000084,10
6,0,0,94,9.986660796000098,10
7,0,0,94,9.984050264000118,10
8,0,0,106,9.981654640000135,10
9,0,0,94,9.979402288000152,10
10,0,0,103,9.97696666400017,10
11,0,0,96,9.975144128000183,10
12,0,0,94,9.973035048000199,10
13,0,0,98,9.970527788000217,10
14,0,0,102,9.968132164000234,10
15,0,0,94,9.965664904000253,10
16,0,0,97,9.963014372000272,10
17,0,0,97,9.96036384000029,10
18,0,0,93,9.958541304000304,10
19,0,0,88,9.956217316000322,10
20,0,0,108,9.953280240000343,10
21,0,0,106,9.95088461600036,10
22,0,0,97,9.948560628000378,10
23,0,0,104,9.946236640000395,10
24,0,0,102,9.943697744000414,10
25,0,0,93,9.941620300000428,10
26,0,0,94,9.939153040000447,10
27,0,0,100,9.936789052000464,10
28,0,0,101,9.934210156000482,10
29,0,0,88,9.932101076000498,10
30,0,0,116,9.929275636000519,10
31,0,0,99,9.926951648000536,10
32,0,0,107,9.924659296000552,10
33,0,0,90,9.922406944000569,10
34,0,0,90,9.920257864000584,10
35,0,0,97,9.9179655120006,10
36,0,0,108,9.91528334400062,10
37,0,0,99,9.912887720000638,10
38,0,0,89,9.910452096000656,10
39,0,0,113,9.907801564000675,10
40,0,0,102,9.905365940000692,10
41,0,0,98,9.903288496000707,10
42,0,0,97,9.900892872000725,10
43,0,0,87,9.898958700000739,10
44,0,0,105,9.89602162400076,10
45,0,0,94,9.89322782000078,10
46,0,0,112,9.890577288000799,10
47,0,0,106,9.887998392000817,10
48,0,0,108,9.885276224000837,10
49,0,0,105,9.882808964000855,10
50,0,0,107,9.879768616000877,10
51,0,0,91,9.877547900000893,10
52,0,0,96,9.874682460000914,10
53,0,0,101,9.872031928000933,10
54,0,0,100,9.86973957600095,10
55,0,0,100,9.867447224000966,10
56,0,0,98,9.86548141600098,10
57,0,0,96,9.863229064000997,10
58,0,0,112,9.86018871600102,10
59,0,0,103,9.857753092001037,10
60,0,0,93,9.855142560001056,10
61,0,0,98,9.852603664001075,10
62,0,0,101,9.849921496001095,10
63,0,0,94,9.847629144001111,10
64,0,0,101,9.84509024800113,10
65,0,0,107,9.842511352001148,10
66,0,0,95,9.840187364001165,10
67,0,0,96,9.837823376001182,10
68,0,0,106,9.8353161160012,10
69,0,0,107,9.832920492001218,10
70,0,0,88,9.830771412001234,10
71,0,0,107,9.828622332001249,10
72,0,0,100,9.825971800001268,10
73,0,0,100,9.823464540001286,10
74,0,0,115,9.820567464001307,10
75,0,0,92,9.817988568001326,10
76,0,0,91,9.815552944001343,10
77,0,0,112,9.812830776001363,10
78,0,0,97,9.810538424001379,10
79,0,0,103,9.808214436001396,10
80,0,0,84,9.80628026400141,10
81,0,0,102,9.803956276001427,10
82,0,0,105,9.801489016001446,10
83,0,0,105,9.798838484001465,10
84,0,0,108,9.79661776800148,10
85,0,0,99,9.794110508001499,10
86,0,0,104,9.791499976001518,10
87,0,0,102,9.788817808001538,10
88,0,0,96,9.786278912001556,10
89,0,0,93,9.783811652001575,10
90,0,0,96,9.781376028001592,10
91,0,0,95,9.77883713200161,10
92,0,0,94,9.776473144001628,10
93,0,0,91,9.774109156001645,10
94,0,0,88,9.77200007600166,10
95,0,0,83,9.770392448001672,10
96,0,0,89,9.768601548001685,10
97,0,0,106,9.766277560001702,10
98,0,0,98,9.764200116001717,10
99,0,0,100,9.762091036001733,10
100,0,0,103,9.759297232001753,10
101,0,0,114,9.756718336001772,10
102,0,0,98,9.754282712001789,10
103,0,0,97,9.752030360001806,10
104,0,0,92,9.749594736001823,10
105,0,0,115,9.746586024001845,10
106,0,0,98,9.744047128001863,10
107,0,0,123,9.741396596001882,10
108,0,0,106,9.7391442440019,10
109,0,0,91,9.737106800001914,10
110,0,0,92,9.734599540001932,10
111,0,0,85,9.73223555200195,10
112,0,0,107,9.730054836001965,10
113,0,0,103,9.727587576001984,10
114,0,0,107,9.724762136002004,10
115,0,0,103,9.72246978400202,10
116,0,0,87,9.720678884002034,10
117,0,0,103,9.71842653200205,10
118,0,0,99,9.716062544002067,10
119,0,0,105,9.713340376002087,10
120,0,0,96,9.711088024002104,10
121,0,0,97,9.708620764002122,10
122,0,0,114,9.70597023200214,10
123,0,0,98,9.703534608002158,10
124,0,0,99,9.700924076002178,10
125,0,0,101,9.698846632002192,10
126,0,0,95,9.696665916002209,10
127,0,0,106,9.694015384002228,10
128,0,0,100,9.691261580002248,10
129,0,0,109,9.688611048002267,10
130,0,0,106,9.685673972002288,10
131,0,0,96,9.683421620002305,10
132,0,0,100,9.680985996002322,10
133,0,0,106,9.67840710000234,10
134,0,0,106,9.675899840002359,10
135,0,0,98,9.673750760002374,10
136,0,0,99,9.671816588002388,10
137,0,0,95,9.669420964002406,10
138,0,0,83,9.667670064002419,10
139,0,0,97,9.665306076002436,10
140,0,0,89,9.66330026800245,10
141,0,0,98,9.660793008002468,10
142,0,0,97,9.658858836002482,10
143,0,0,92,9.656566484002498,10
144,0,0,100,9.654385768002514,10
145,0,0,112,9.651775236002534,10
146,0,0,100,9.64948288400255,10
147,0,0,92,9.647405440002565,10
148,0,0,104,9.644898180002583,10
149,0,0,90,9.6426058280026,10
150,0,0,97,9.639597116002621,10
151,0,0,96,9.637416400002637,10
152,0,0,97,9.634980776002655,10
153,0,0,107,9.632370244002674,10
154,0,0,107,9.629616440002694,10
155,0,0,89,9.62753899600271,10
156,0,0,96,9.625175008002726,10
157,0,0,90,9.622779384002744,10
158,0,0,90,9.620813576002758,10
159,0,0,103,9.61791650000278,10
160,0,0,107,9.614947788002802,10
161,0,0,89,9.613053616002816,10
162,0,0,102,9.610084904002838,10
163,0,0,94,9.607474372002857,10
164,0,0,101,9.605150384002874,10
165,0,0,93,9.603144576002888,10
166,0,0,94,9.601138768002903,10
167,0,0,104,9.59863150800292,10
168,0,0,96,9.596339156002937,10
169,0,0,106,9.593760260002956,10
170,0,0,103,9.591324636002973,10
171,0,0,105,9.588459196002994,10
172,0,0,91,9.586310116003009,10
173,0,0,109,9.583587948003029,10
174,0,0,106,9.58076250800305,10
175,0,0,102,9.578581792003066,10
176,0,0,98,9.575971260003085,10
177,0,0,103,9.573217456003105,10
178,0,0,114,9.570853468003122,10
179,0,0,116,9.568028028003143,10
180,0,0,100,9.565489132003162,10
181,0,0,95,9.563196780003178,10
182,0,0,96,9.560904428003195,10
183,0,0,117,9.558038988003215,10
184,0,0,100,9.555643364003233,10
185,0,0,101,9.55331937600325,10
186,0,0,99,9.550740480003268,10
187,0,0,91,9.548949580003281,10
188,0,0,110,9.546124140003302,10
